text,price,size,cleaned_text,category,brand
PLUTO (NZ) Daisy chain applique dress! 12,49.0,12,(NZ) Daisy chain applique,dress,PLUTO
POLISHED Resin autumnal bead necklace!,25.0,No size in title,polished resin autumnal bead  ,necklace,Not listed in title
POP England - Peter pan collar mod dress! 8,25.0,8,Peter pan collar mod  ,dress,POP England 
PORTMANS (BN) Floral lined blazer 12-14,60.0,12-14,(BN) Floral lined,blazer,PORTMANS
PORTMANS (BN) Ponte pencil skirt! 12,35.0,12,(BN) Ponte pencil,skirt,PORTMANS
PORTMANS - Aqua reptile clutch!,15.0,No size in title,Aqua reptile  ,clutch,PORTMANS 
PORTMANS - BN Monochrome palm print jacket! 12,50.0,12,BN Monochrome palm print  ,jacket,PORTMANS 
PORTMANS - Crossover front pants! 8,20.0,8,Crossover front  ,pants,PORTMANS 
PORTMANS - Floral dress! 12,45.0,12,Floral  ,dress,PORTMANS 
PORTMANS - Floral wrap front skirt! 8,39.0,8,Floral wrap front  ,skirt,PORTMANS 
PORTMANS - Fuschia bauble knit top! 14,29.0,14,Fuschia bauble knit  ,top,PORTMANS 
PORTMANS - Lavender + mint shift dress! 10,32.0,10,Lavender + mint shift  ,dress,PORTMANS 
PORTMANS - Navy status cropped pant! 16,39.0,16,Navy status cropped  ,pant,PORTMANS 
PORTMANS - Peplum LBD! 10,35.0,10,Peplum  ,LBD,PORTMANS 
PORTMANS - Pleat skirt! 10-12,27.0,10-12,Pleat  ,skirt,PORTMANS 
PORTMANS - Pleather panel ponte pant! 10,27.0,10,Pleather panel ponte  ,pant,PORTMANS 
PORTMANS - Printed ponte pant! 6-8,19.0,6-8,Printed ponte  ,pant,PORTMANS 
PORTMANS - Rainbow + serpent print dress! 8,35.0,8,Rainbow + serpent print  ,dress,PORTMANS 
PORTMANS - Ruffled chiffon top! 8-10,20.0,8-10,Ruffled chiffon  ,top,PORTMANS 
PORTMANS - Stripe biker jacket! 12,0.0,12,Stripe biker  ,jacket,PORTMANS 
PORTMANS - Stripe princess sleeve shirt! 8-10,15.0,8-10,Stripe princess sleeve  ,shirt,PORTMANS 
PORTMANS - Stripe sequin top! 14,22.0,14,Stripe sequin  ,top,PORTMANS 
PORTMANS - Yellow trim knit cardi! 10-12,25.0,10-12,Yellow trim knit  ,cardi,PORTMANS 
PORTMANS -Stormy print ruffle tunic dress! 8-10,25.0,8-10,tormy print ruffle tunic  ,dress,PORTMANS 
POSSUMDOWN (NZ) Possum + merino cardi! 12,45.0,12,(NZ) Possum + merino,cardi,POSSUMDOWN
PQ (BN) Grapefruit miracle top! OS,0.0,No size in title,(BN) Grapefruit miracle top! OS!,No category in title,PQ
PQ - Kaleidoscope print dress! 12-14,39.0,12-14,Kaleidoscope print  ,dress,PQ 
PQ - Ornate frill sleeve dress! 10-12,40.0,10-12,Ornate frill sleeve  ,dress,PQ 
PQ Collection (BN) Off the shoulder Paradiso dress! 12-14,35.0,12-14,(BN) Off the shoulder Paradiso,dress,PQ Collection
PQ THE LABEL (BN) Metallic ruched skirt! 10,25.0,10,(BN) Metallic ruched,skirt,PQ THE LABEL
PREEN - Berry merino cardi! 12,37.0,12,Berry merino  ,cardi,PREEN 
PRETTY BASIC - Mila top fluro coral! 10-12,62.0,10-12,Mila top fluro  ,coral,PRETTY BASIC 
"PRETTY BASIC By Augustine ""Raphael"" black pants! 12",70.0,12,Raphael black,pants,PRETTY BASIC By Augustine
PRINCIPALS - Amazing Royal blue blouse! 8-10,19.0,8-10,Amazing Royal blue  ,blouse,PRINCIPALS 
PRINCIPALS - Coral bloom print top! 10,15.0,10,Coral bloom print  ,top,PRINCIPALS 
PRINCIPALS - Floral dress! 12,20.0,12,Floral  ,dress,PRINCIPALS 
PRIVILEGE - Lightweight coat! 16,49.0,16,Lightweight  ,coat,PRIVILEGE 
PROGETTO (ITA) Leather ankle boots! 8-8.5,65.0,8-8.5,(ITA) Leather ankle,boots,PROGETTO
